cntry,netuse,gndr,agea,eisced,mnactic,hinctnta,ipcrtiv,impdiff,impfun,iscomajor,freqnet,nonet
DK,1,2,66,3,6,4,4,0,1,5,0,1
DK,7,1,32,3,1,8,3,2,4,3,1,7
DK,7,1,68,6,6,7,4,3,4,1,1,7
DK,7,2,45,3,1,6,1,1,2,4,1,7
DK,7,1,61,2,1,9,3,3,4,7,1,7
DK,7,2,18,2,2,8,3,5,5,9,1,7
DK,7,2,37,6,1,7,4,3,3,2,1,7
DK,1,2,70,1,6,2,1,0,5,9,0,1
DK,6,2,82,1,6,1,3,1,1,5,1,6
DK,2,1,48,5,1,7,5,3,2,1,0,2
DK,7,2,63,2,1,5,2,1,4,4,1,7
DK,7,2,24,4,3,5,3,2,2,5,1,7
DK,6,1,70,6,6,7,4,1,3,2,1,6
DK,1,1,82,1,6,4,3,1,2,3,0,1
DK,0,2,63,6,6,4,4,4,5,3,0,1
DK,7,1,37,6,1,10,4,2,2,2,1,7
DK,0,2,76,1,6,2,5,1,3,8,0,1
DK,1,1,69,3,6,5,5,1,4,7,0,1
DK,6,1,44,3,1,10,4,4,3,7,1,6
DK,4,1,35,3,1,6,3,3,3,7,0,4
DK,7,1,58,6,1,10,3,2,2,2,1,7
DK,7,1,51,5,1,10,4,3,5,3,1,7
DK,7,1,19,4,1,9,3,5,5,5,1,7
DK,7,1,19,2,5,6,5,0,1,9,1,7
DK,7,1,37,6,1,7,4,3,4,3,1,7
DK,4,1,41,6,1,5,5,5,0,5,0,4
DK,5,2,50,6,1,7,3,4,4,3,0,5
DK,6,1,18,4,2,7,3,4,5,5,1,6
DK,6,2,55,6,8,9,4,1,4,3,1,6
DK,0,2,69,1,6,3,4,5,5,5,0,1
DK,4,2,64,3,6,2,4,3,3,5,0,4
DK,7,2,41,5,1,8,5,5,5,5,1,7
DK,7,1,25,5,1,2,5,5,4,9,1,7
DK,7,1,46,6,1,7,3,5,4,3,1,7
DK,6,2,43,6,1,8,2,1,2,3,1,6
DK,7,2,28,5,1,7,3,3,4,3,1,7
DK,7,2,43,6,1,5,2,4,5,2,1,7
DK,7,2,47,2,4,5,4,2,4,4,1,7
DK,7,2,38,6,1,7,5,2,5,3,1,7
DK,7,2,40,7,2,7,5,5,3,5,1,7
DK,0,2,72,6,6,5,5,5,5,3,0,1
DK,7,1,67,3,6,5,4,1,1,3,1,7
DK,7,1,45,3,1,9,2,2,3,2,1,7
DK,7,2,46,2,1,3,3,3,4,9,1,7
DK,7,1,58,3,1,6,5,3,4,9,1,7
DK,7,2,49,7,1,7,3,1,1,1,1,7
DK,7,1,67,6,1,10,1,2,3,2,1,7
DK,7,1,53,3,1,7,5,5,5,8,1,7
DK,3,2,66,6,6,7,5,1,2,2,0,3
DK,7,2,58,5,5,7,5,5,3,1,1,7
DK,5,2,65,6,6,4,4,1,1,5,0,5
DK,6,1,67,1,6,3,4,1,2,7,1,6
DK,7,1,46,6,1,10,5,4,3,2,1,7
DK,0,2,61,1,5,4,4,4,4,5,0,1
DK,7,1,18,2,9,10,2,3,0,9,1,7
DK,7,2,55,3,1,6,5,1,1,2,1,7
DK,7,1,68,4,6,8,3,2,4,2,1,7
DK,1,2,68,2,1,6,4,1,1,5,0,1
DK,7,1,56,3,6,7,4,1,4,5,1,7
DK,6,1,57,1,1,6,3,4,1,8,1,6
DK,0,2,73,2,6,2,4,4,2,5,0,1
DK,7,1,65,7,1,10,3,2,2,2,1,7
DK,7,2,56,6,1,4,5,1,1,2,1,7
DK,0,1,85,2,6,2,1,4,2,6,0,1
DK,7,2,43,3,1,6,3,1,3,9,1,7
DK,6,2,52,3,1,8,4,3,3,9,1,6
DK,7,1,49,4,1,3,4,3,4,7,1,7
DK,7,2,36,1,3,1,2,1,1,9,1,7
DK,7,1,23,4,2,1,4,4,3,6,1,7
DK,7,2,56,3,1,8,4,4,4,3,1,7
DK,7,2,37,2,1,6,4,0,3,5,1,7
DK,7,1,63,3,6,2,2,1,1,9,1,7
DK,7,2,19,2,2,1,5,5,4,5,1,7
DK,6,2,60,3,1,7,2,2,1,3,1,6
DK,1,1,79,1,6,4,5,5,5,8,0,1
DK,7,2,36,6,1,6,4,3,3,3,1,7
DK,6,1,47,6,1,10,2,4,3,9,1,6
DK,7,2,51,2,1,6,3,1,4,4,1,7
DK,7,2,35,3,3,4,5,4,4,3,1,7
DK,7,2,22,4,2,2,3,3,4,5,1,7
DK,6,1,49,3,1,10,1,1,2,3,1,6
DK,0,1,68,5,6,8,5,0,2,7,0,1
DK,7,2,21,2,1,1,3,2,5,1,1,7
DK,7,1,59,6,1,10,5,3,3,3,1,7
DK,7,1,67,3,6,4,4,4,3,9,1,7
DK,7,2,44,2,1,6,3,3,4,4,1,7
DK,7,1,30,4,2,5,3,3,2,5,1,7
DK,3,2,46,3,1,10,5,4,4,9,0,3
DK,5,2,34,3,1,5,4,1,4,9,0,5
DK,4,2,67,1,6,3,3,3,3,9,0,4
DK,7,1,32,6,1,8,2,3,5,2,1,7
DK,6,1,20,3,1,5,4,4,5,5,1,6
DK,7,2,36,3,1,10,3,3,5,3,1,7
DK,7,2,51,6,1,10,2,1,2,2,1,7
DK,7,1,26,5,1,4,4,3,4,6,1,7
DK,7,1,57,3,1,10,5,4,4,5,1,7
DK,7,2,68,2,6,2,1,1,1,9,1,7
DK,6,1,73,3,6,3,5,5,4,3,1,6
DK,5,1,39,2,1,2,4,5,4,8,0,5
DK,7,1,50,3,1,8,4,4,1,1,1,7
DK,1,1,28,3,1,5,3,0,5,7,0,1
DK,7,1,17,2,2,4,3,5,3,5,1,7
DK,7,1,61,4,1,6,4,4,3,3,1,7
DK,7,2,61,7,5,2,5,4,4,4,1,7
DK,1,1,59,3,1,6,1,1,2,7,0,1
DK,7,1,48,5,1,9,5,2,3,3,1,7
DK,6,1,68,3,6,1,2,2,4,8,1,6
DK,2,2,60,6,1,7,3,1,2,2,0,2
DK,7,2,38,6,1,4,2,3,4,2,1,7
DK,6,2,51,6,1,5,2,2,3,5,1,6
DK,1,2,64,3,6,3,4,2,3,5,0,1
DK,7,1,52,2,1,9,2,2,5,5,1,7
DK,0,1,87,6,6,4,4,0,4,2,0,1
DK,7,2,36,6,2,9,3,5,4,3,1,7
DK,7,2,31,6,1,7,5,3,4,2,1,7
DK,5,2,24,4,2,7,3,2,3,2,0,5
DK,0,1,44,2,8,7,1,2,5,7,0,1
DK,0,2,87,1,6,1,5,4,5,9,0,1
DK,7,2,33,6,1,9,5,3,4,2,1,7
DK,7,1,52,3,1,5,4,1,4,7,1,7
DK,7,1,27,4,1,7,5,5,5,1,1,7
DK,7,1,52,6,1,10,4,3,3,1,1,7
DK,7,2,41,5,1,10,1,2,5,3,1,7
DK,7,1,48,3,1,2,5,4,4,5,1,7
DK,5,1,61,3,6,2,5,4,4,7,0,5
DK,1,1,83,1,6,2,4,1,4,8,0,1
DK,7,1,19,2,2,9,5,5,5,5,1,7
DK,7,2,48,3,1,3,3,3,4,5,1,7
DK,7,1,21,4,1,3,3,3,4,3,1,7
DK,0,2,77,1,6,1,5,5,5,3,0,1
DK,7,1,62,5,1,10,3,2,4,2,1,7
DK,7,2,23,4,2,1,4,3,4,9,1,7
DK,7,1,21,3,1,3,4,3,4,3,1,7
DK,7,1,19,2,2,10,3,3,2,10,1,7
DK,7,1,39,7,1,9,2,2,4,2,1,7
DK,7,2,38,4,1,7,3,3,2,4,1,7
DK,7,2,55,1,5,3,2,5,5,5,1,7
DK,7,1,52,3,1,2,4,3,4,9,1,7
DK,7,1,48,3,1,5,4,1,4,7,1,7
DK,7,2,29,2,1,10,3,2,4,4,1,7
DK,7,1,40,2,1,10,3,4,2,1,1,7
DK,7,2,20,2,2,1,4,5,5,10,1,7
DK,7,1,72,3,1,4,4,3,4,3,1,7
DK,6,1,39,3,1,9,4,4,4,8,1,6
DK,6,1,24,3,3,5,5,4,5,7,1,6
DK,7,1,20,2,1,1,1,4,4,7,1,7
DK,7,1,77,3,6,5,1,0,2,2,1,7
DK,7,2,37,3,1,4,2,2,3,5,1,7
DK,7,1,24,3,2,1,2,3,3,7,1,7
DK,7,1,42,7,1,7,5,4,4,3,1,7
DK,1,1,65,1,6,4,4,1,3,9,0,1
DK,7,2,49,3,1,8,1,1,1,4,1,7
DK,7,2,50,3,1,10,5,5,5,5,1,7
DK,7,2,45,2,1,2,3,5,3,5,1,7
DK,0,1,65,3,6,3,5,1,5,9,0,1
DK,7,1,69,6,6,8,3,0,3,3,1,7
DK,7,2,37,6,1,8,4,2,2,3,1,7
DK,7,2,54,2,1,6,5,1,1,5,1,7
DK,7,1,48,2,1,8,4,4,1,7,1,7
DK,7,1,50,3,1,8,3,3,4,5,1,7
DK,7,1,59,6,1,8,2,1,3,3,1,7
DK,7,1,22,4,3,6,5,4,5,5,1,7
DK,6,2,42,5,1,10,3,1,3,5,1,6
DK,7,1,38,2,5,6,5,4,4,9,1,7
DK,5,1,49,3,3,5,3,2,3,7,0,5
DK,7,2,41,4,2,10,4,5,4,8,1,7
DK,7,2,21,4,9,4,3,4,2,2,1,7
DK,0,2,46,3,1,1,4,4,2,6,0,1
DK,7,1,45,5,1,8,4,2,3,2,1,7
DK,7,1,44,3,1,9,3,2,4,3,1,7
DK,7,2,67,7,6,9,3,3,2,4,1,7
DK,7,2,61,6,1,6,2,1,2,3,1,7
DK,7,1,24,2,1,3,4,4,5,8,1,7
DK,0,1,80,1,6,1,2,2,2,8,0,1
DK,7,2,44,6,1,10,3,3,1,1,1,7
DK,6,2,34,6,1,6,4,1,3,3,1,6
DK,1,2,60,3,1,3,4,5,5,5,0,1
DK,7,2,51,3,1,4,3,2,5,5,1,7
DK,7,1,54,6,1,10,4,4,4,3,1,7
DK,7,2,49,6,1,5,4,4,4,3,1,7
DK,7,1,59,7,5,9,4,2,4,1,1,7
DK,7,2,26,3,1,3,4,4,4,6,1,7
DK,7,1,21,4,2,1,3,5,3,5,1,7
DK,7,1,17,1,2,4,3,3,4,10,1,7
DK,6,1,55,3,1,10,2,1,3,7,1,6
DK,7,2,51,3,1,6,3,2,4,5,1,7
DK,7,1,62,6,1,5,2,2,4,4,1,7
DK,7,2,26,3,2,8,4,3,4,5,1,7
DK,7,1,35,2,8,9,4,2,4,6,1,7
DK,1,1,72,2,6,2,3,4,3,9,0,1
DK,7,1,63,2,1,7,3,2,4,7,1,7
DK,6,1,22,2,3,8,4,2,5,8,1,6
DK,7,1,33,3,1,5,1,1,3,6,1,7
DK,0,2,82,3,6,1,4,5,2,3,0,1
DK,7,2,55,6,1,8,3,3,4,3,1,7
DK,7,2,48,6,1,10,5,4,4,2,1,7
DK,6,2,52,2,1,7,5,4,4,5,1,6
DK,7,2,72,6,6,9,4,3,2,1,1,7
DK,6,2,60,1,6,1,4,3,3,1,1,6
DK,5,2,22,2,3,1,1,5,3,9,0,5
DK,7,1,40,2,1,8,4,1,4,7,1,7
DK,7,1,59,3,1,8,2,1,3,9,1,7
DK,1,1,63,3,6,7,5,2,4,1,0,1
DK,7,1,34,3,1,4,4,1,3,7,1,7
DK,7,1,45,3,1,10,5,2,2,3,1,7
DK,7,1,53,2,1,8,5,5,4,1,1,7
DK,1,2,76,3,6,9,2,1,4,5,0,1
DK,0,2,76,1,6,1,4,3,4,9,0,1
DK,6,2,62,1,1,6,4,1,3,9,1,6
DK,0,1,83,1,6,2,3,3,2,1,0,1
DK,7,1,19,2,2,9,3,4,5,5,1,7
DK,6,2,57,2,1,7,3,4,2,4,1,6
DK,7,1,61,6,1,8,4,2,3,2,1,7
DK,6,1,61,3,1,8,5,2,3,7,1,6
DK,1,2,81,1,6,3,4,2,4,8,0,1
DK,7,1,58,6,1,10,5,2,4,3,1,7
DK,7,1,43,3,1,3,5,1,4,1,1,7
DK,7,1,69,1,8,3,5,5,5,7,1,7
DK,6,2,62,6,1,9,4,3,5,2,1,6
DK,7,2,53,2,1,10,5,1,1,1,1,7
DK,7,2,39,2,8,2,3,1,4,5,1,7
DK,7,1,68,3,1,6,4,1,4,7,1,7
DK,7,1,22,4,3,1,4,4,5,5,1,7
DK,7,1,43,6,4,2,3,2,1,3,1,7
DK,7,1,21,4,2,1,2,3,3,5,1,7
DK,7,2,24,5,1,3,4,5,4,3,1,7
DK,7,2,27,6,1,3,3,4,4,4,1,7
DK,7,1,27,6,1,7,4,4,4,2,1,7
DK,6,2,47,5,1,6,4,1,5,3,1,6
DK,7,2,29,7,2,5,4,2,2,3,1,7
DK,7,1,26,4,2,1,5,4,4,5,1,7
DK,7,2,39,6,1,6,4,2,4,3,1,7
DK,0,2,92,3,6,1,4,4,4,9,0,1
DK,7,1,47,5,1,5,2,2,4,7,1,7
DK,7,1,64,7,1,5,1,0,1,3,1,7
DK,7,2,45,6,1,10,5,5,4,4,1,7
DK,0,2,79,3,6,3,3,1,3,7,0,1
DK,7,1,52,6,3,8,3,2,2,4,1,7
DK,7,2,19,2,2,8,5,5,4,9,1,7
DK,7,1,54,6,1,8,5,5,3,2,1,7
DK,6,2,54,6,6,10,5,2,3,2,1,6
DK,7,1,31,6,1,5,3,3,4,3,1,7
DK,7,2,44,6,1,9,4,2,4,2,1,7
DK,7,2,48,5,1,7,5,5,5,4,1,7
DK,1,1,74,3,6,4,5,0,4,7,0,1
DK,7,1,44,3,1,10,4,5,3,3,1,7
DK,7,2,47,7,1,10,3,1,1,2,1,7
DK,7,1,59,3,1,10,2,2,2,3,1,7
DK,7,2,15,1,2,10,5,5,5,9,1,7
DK,7,1,17,2,2,9,2,2,2,5,1,7
DK,7,1,44,7,1,5,5,5,4,9,1,7
DK,6,2,69,1,6,3,5,2,2,3,1,6
DK,7,2,63,6,6,7,3,3,2,2,1,7
DK,7,2,53,6,1,8,2,3,5,1,1,7
DK,7,1,34,2,3,5,5,5,3,3,1,7
DK,1,2,48,1,8,9,3,1,2,10,0,1
DK,6,1,35,3,1,7,5,3,5,8,1,6
DK,7,1,52,3,1,10,4,3,1,7,1,7
DK,7,1,49,5,1,10,5,1,1,1,1,7
DK,7,2,26,3,1,7,3,3,3,5,1,7
DK,7,1,66,3,6,5,4,5,5,7,1,7
DK,6,2,59,2,1,2,4,2,4,5,1,6
DK,7,1,76,3,6,4,3,5,5,3,1,7
DK,7,1,44,3,1,7,4,3,4,9,1,7
DK,7,1,50,6,1,9,4,2,4,1,1,7
DK,7,2,65,6,1,9,3,1,1,3,1,7
DK,7,1,30,6,1,10,5,4,4,2,1,7
DK,0,1,71,3,6,1,1,1,0,7,0,1
DK,7,2,38,7,3,6,1,1,3,2,1,7
DK,0,2,72,3,6,2,5,0,4,5,0,1
DK,7,1,18,2,2,10,4,4,4,10,1,7
DK,7,2,63,3,6,4,5,0,0,4,1,7
DK,7,1,40,6,1,6,1,1,4,5,1,7
DK,7,2,46,6,1,8,5,3,5,3,1,7
DK,7,1,21,2,2,2,4,4,4,7,1,7
DK,1,1,79,1,6,7,4,5,5,1,0,1
DK,7,1,34,3,1,9,3,1,3,1,1,7
DK,7,2,47,3,1,10,5,4,5,2,1,7
DK,1,1,50,2,1,8,3,1,0,8,0,1
DK,6,1,61,3,1,6,4,5,5,9,1,6
DK,7,1,60,6,1,10,5,4,3,1,1,7
DK,7,1,40,5,1,8,4,3,4,3,1,7
DK,7,2,25,4,2,2,4,5,5,5,1,7
DK,7,1,44,7,1,9,4,1,3,2,1,7
DK,1,2,48,1,1,2,5,1,4,1,0,1
DK,6,2,69,5,6,6,3,1,4,3,1,6
DK,7,2,34,2,1,10,1,5,3,1,1,7
DK,7,1,59,5,3,7,5,4,4,9,1,7
DK,6,2,49,2,1,6,5,2,5,9,1,6
DK,3,1,36,3,1,9,5,2,5,7,0,3
DK,7,2,53,6,1,8,5,4,5,3,1,7
DK,7,1,28,6,3,2,3,1,3,6,1,7
DK,7,1,29,5,1,9,4,4,3,1,1,7
DK,7,1,34,6,1,5,4,3,4,3,1,7
DK,7,1,36,7,1,9,3,2,3,1,1,7
DK,0,2,44,7,9,4,4,2,3,2,0,1
DK,7,1,53,5,1,10,3,4,4,3,1,7
DK,7,1,59,3,1,8,5,4,3,9,1,7
DK,7,2,34,6,1,8,2,2,3,2,1,7
DK,6,2,46,2,2,5,5,5,5,5,1,6
DK,7,1,46,6,1,8,3,2,2,1,1,7
DK,6,2,49,7,1,9,5,4,2,1,1,6
DK,0,1,72,2,6,2,3,1,4,9,0,1
DK,7,2,62,3,6,7,4,1,4,5,1,7
DK,7,2,64,6,6,6,4,5,3,2,1,7
DK,7,2,26,6,1,3,3,3,4,3,1,7
DK,7,1,25,3,1,3,5,5,5,5,1,7
DK,7,1,46,3,1,8,2,2,2,2,1,7
DK,7,1,36,2,1,4,4,4,4,9,1,7
DK,7,2,57,3,3,7,3,3,3,5,1,7
DK,7,2,15,1,2,4,4,1,4,10,1,7
DK,7,1,30,6,8,8,5,4,3,2,1,7
DK,7,1,40,5,5,3,4,2,4,2,1,7
DK,7,1,52,7,1,9,4,3,1,3,1,7
DK,7,1,40,3,1,5,2,4,4,9,1,7
DK,7,2,44,6,1,9,4,2,2,3,1,7
DK,7,1,25,3,1,8,2,4,4,8,1,7
DK,7,2,69,6,6,7,4,4,4,2,1,7
DK,7,2,40,3,1,10,4,5,5,5,1,7
DK,7,2,50,6,1,6,2,1,2,9,1,7
DK,7,2,48,2,1,2,4,4,4,9,1,7
DK,7,1,60,6,1,10,2,4,2,3,1,7
DK,6,2,43,6,1,10,4,4,3,3,1,6
DK,1,2,69,3,6,3,5,5,4,9,0,1
DK,7,2,36,7,1,10,5,3,3,2,1,7
DK,7,1,62,6,1,7,5,2,5,2,1,7
DK,6,2,37,6,1,6,2,2,2,5,1,6
DK,0,2,80,1,6,2,2,1,4,5,0,1
DK,7,1,15,2,2,5,1,5,5,10,1,7
DK,1,2,63,2,1,2,2,1,1,9,0,1
DK,6,1,62,1,6,6,1,2,4,9,1,6
DK,0,1,74,1,6,2,3,2,4,9,0,1
DK,4,1,67,3,6,4,5,4,4,3,0,4
DK,7,2,19,4,1,7,3,5,5,5,1,7
DK,4,1,71,3,6,4,4,3,3,9,0,4
DK,7,1,49,6,1,10,1,1,1,3,1,7
DK,7,1,36,6,1,10,4,1,5,3,1,7
DK,6,1,58,3,1,5,4,3,5,1,1,6
DK,7,2,45,6,1,9,5,3,4,3,1,7
DK,5,2,64,3,1,10,2,3,3,5,0,5
DK,7,1,34,2,6,4,5,2,3,8,1,7
DK,7,1,42,5,1,4,4,4,4,7,1,7
DK,7,2,47,2,6,7,4,2,4,9,1,7
DK,7,1,60,5,1,10,4,2,3,8,1,7
DK,5,2,48,6,1,8,3,2,3,3,0,5
DK,1,1,50,3,1,3,4,1,2,9,0,1
DK,7,2,40,2,1,7,3,1,2,6,1,7
DK,7,2,68,6,6,6,2,5,2,3,1,7
DK,7,2,17,1,2,7,3,2,4,9,1,7
DK,7,2,59,3,2,9,5,2,2,7,1,7
DK,7,1,35,3,1,10,5,3,4,3,1,7
DK,7,1,62,3,6,5,2,1,2,7,1,7
DK,6,2,50,5,1,7,2,1,1,4,1,6
DK,6,2,63,2,6,1,2,1,2,4,1,6
DK,7,2,51,6,1,6,5,5,4,3,1,7
DK,3,2,73,6,6,4,5,3,4,3,0,3
DK,7,2,34,6,3,7,5,5,5,9,1,7
EE,7,1,36,7,1,10,4,3,2,2,1,7
EE,0,2,69,4,6,5,1,4,1,9,0,1
EE,6,2,37,4,1,7,3,4,4,3,1,6
EE,1,1,70,5,6,4,0,0,0,1,0,1
EE,7,2,55,7,1,4,5,5,0,3,1,7
EE,6,2,64,5,6,5,1,1,0,5,1,6
EE,1,1,62,3,6,2,1,4,4,8,0,1
EE,7,1,61,4,1,9,3,3,2,1,1,7
EE,7,2,38,5,1,9,3,4,4,1,1,7
EE,7,2,40,7,8,10,2,2,2,2,1,7
EE,1,1,83,5,6,2,4,4,3,7,0,1
EE,2,1,78,7,6,6,1,2,1,1,0,2
EE,7,1,35,6,4,1,1,4,3,3,1,7
EE,5,1,29,4,3,7,4,4,1,7,0,5
EE,1,2,79,2,6,7,1,3,1,9,0,1
EE,0,2,71,4,6,6,3,2,2,5,0,1
EE,6,2,70,5,6,3,3,3,1,4,1,6
EE,6,2,64,7,1,7,3,4,3,2,1,6
EE,6,2,62,7,8,6,5,5,3,2,1,6
EE,7,2,53,5,1,8,1,1,1,8,1,7
EE,7,2,24,6,2,8,4,4,3,2,1,7
EE,7,2,70,4,6,5,1,3,5,3,1,7
EE,7,2,30,6,1,10,3,2,3,3,1,7
EE,7,1,26,4,2,8,4,3,3,2,1,7
EE,5,2,54,7,1,10,3,2,3,2,0,5
EE,7,1,22,5,1,8,3,4,3,8,1,7
EE,7,2,46,4,1,10,5,4,5,2,1,7
EE,7,2,25,6,1,9,4,4,2,2,1,7
EE,7,2,29,7,1,10,3,3,4,4,1,7
EE,1,1,81,7,6,3,3,2,1,1,0,1
EE,7,1,28,4,1,5,4,4,1,4,1,7
EE,7,2,41,7,3,9,3,3,2,1,1,7
EE,7,2,78,7,1,3,4,1,1,2,1,7
EE,7,2,23,4,2,9,3,5,3,3,1,7
EE,3,2,51,4,1,6,4,5,3,5,0,3
EE,7,2,32,5,2,6,1,4,4,5,1,7
EE,7,2,18,2,2,10,4,5,5,2,1,7
EE,7,2,70,7,8,3,4,5,0,2,1,7
EE,7,2,28,6,1,10,3,4,4,2,1,7
EE,7,1,53,7,1,9,3,3,4,3,1,7
EE,6,2,61,4,6,1,3,3,5,2,1,6
EE,7,2,34,6,1,9,3,3,2,4,1,7
EE,7,2,27,7,2,8,4,4,3,2,1,7
EE,6,1,59,7,1,10,4,3,2,2,1,6
EE,0,2,51,3,1,8,2,3,2,5,0,1
EE,7,2,25,7,1,10,5,5,5,3,1,7
EE,7,2,44,7,1,10,3,2,0,1,1,7
EE,1,2,83,7,6,6,4,4,4,2,0,1
EE,7,2,31,5,1,10,3,2,4,2,1,7
EE,7,2,63,5,6,2,3,3,2,7,1,7
EE,7,2,51,4,1,9,5,5,4,2,1,7
EE,7,1,31,6,1,10,5,4,3,1,1,7
EE,7,2,67,5,6,8,5,5,5,3,1,7
EE,7,1,22,5,1,5,4,5,4,4,1,7
EE,7,2,37,6,8,10,2,2,3,1,1,7
EE,7,1,24,6,1,8,4,3,5,3,1,7
EE,6,2,39,4,3,2,4,4,4,5,1,6
EE,5,1,38,2,1,8,4,4,4,7,0,5
EE,7,1,30,4,1,10,3,1,2,7,1,7
EE,0,2,95,4,6,7,2,3,1,1,0,1
EE,6,2,68,5,6,6,3,3,2,9,1,6
EE,7,2,32,4,1,10,5,4,1,1,1,7
EE,7,2,43,6,1,9,3,1,4,2,1,7
EE,0,2,67,2,6,7,2,3,2,5,0,1
EE,7,2,22,4,2,10,3,5,4,1,1,7
EE,6,1,73,7,6,5,5,4,3,9,1,6
EE,0,1,70,5,6,5,2,3,4,5,0,1
EE,1,2,66,4,6,6,4,3,4,9,0,1
EE,7,1,33,7,8,9,3,2,3,2,1,7
EE,1,2,70,2,6,5,3,1,1,9,0,1
EE,1,2,86,2,6,3,1,1,1,5,0,1
EE,5,2,63,7,1,6,2,3,2,5,0,5
EE,0,2,75,4,1,5,5,4,4,9,0,1
EE,6,1,34,6,1,8,4,4,3,0,1,6
EE,0,2,64,4,6,4,1,1,4,2,0,1
EE,7,2,36,6,1,10,3,3,3,2,1,7
EE,7,1,48,7,1,10,3,3,1,2,1,7
EE,7,1,40,7,1,8,2,3,2,7,1,7
EE,1,2,80,7,8,5,1,1,2,2,0,1
EE,7,2,44,7,8,2,4,3,2,2,1,7
EE,6,1,59,4,1,9,3,1,2,4,1,6
EE,7,2,61,5,1,6,5,3,3,1,1,7
EE,6,1,39,5,1,6,4,4,4,5,1,6
EE,7,2,52,7,1,6,3,3,2,3,1,7
EE,7,1,59,4,1,4,3,2,3,4,1,7
EE,5,1,50,6,5,8,3,3,3,7,0,5
EE,6,2,50,6,1,7,4,4,5,5,1,6
EE,0,2,50,7,1,2,3,3,2,4,0,1
EE,7,2,28,7,3,6,3,4,3,2,1,7
EE,1,2,59,5,6,7,5,4,1,9,0,1
EE,7,2,31,6,1,8,3,3,4,3,1,7
EE,7,1,66,5,1,10,5,4,4,1,1,7
EE,2,2,74,5,6,3,3,3,0,3,0,2
EE,6,1,71,2,1,5,4,1,4,8,1,6
EE,0,1,60,3,1,7,1,3,3,9,0,1
EE,1,1,50,4,1,5,3,4,3,9,0,1
EE,7,1,35,3,1,9,3,4,3,9,1,7
EE,7,1,31,5,1,8,5,4,3,3,1,7
EE,7,2,65,5,6,2,4,2,4,9,1,7
EE,7,2,50,4,1,1,3,3,2,7,1,7
EE,7,2,31,6,8,8,1,4,3,3,1,7
EE,7,2,26,7,1,7,4,4,2,3,1,7
EE,1,1,72,5,1,4,2,3,2,4,0,1
EE,6,1,64,4,1,6,3,3,4,7,1,6
EE,7,2,27,6,1,3,4,2,2,2,1,7
EE,1,2,58,7,1,7,3,3,3,5,0,1
EE,7,2,57,5,1,6,2,1,0,4,1,7
EE,7,2,63,7,6,6,2,4,1,2,1,7
EE,7,2,48,4,1,8,3,3,2,4,1,7
EE,7,2,26,5,1,6,3,3,4,5,1,7
EE,1,1,59,4,1,6,4,3,1,8,0,1
EE,7,1,44,4,1,4,4,4,1,3,1,7
EE,7,1,31,5,1,4,1,4,4,7,1,7
EE,7,1,28,2,1,4,2,5,5,7,1,7
EE,5,2,59,4,1,4,3,3,0,9,0,5
EE,5,2,49,6,8,4,4,1,1,5,0,5
EE,4,1,44,5,1,7,4,3,4,9,0,4
EE,7,1,38,5,1,9,4,4,2,2,1,7
EE,5,1,17,2,3,9,4,4,3,8,0,5
EE,7,1,70,4,6,4,0,4,3,9,1,7
EE,1,1,35,5,1,9,0,3,3,7,0,1
EE,1,2,71,4,6,4,1,1,1,9,0,1
EE,1,2,66,7,1,4,1,1,1,2,0,1
EE,1,2,62,2,6,4,3,4,1,8,0,1
EE,7,2,57,6,1,7,4,1,2,2,1,7
EE,7,2,55,7,1,7,4,2,3,5,1,7
EE,7,2,51,6,1,10,4,2,1,2,1,7
EE,6,2,43,4,1,1,3,3,3,5,1,6
EE,7,1,33,2,3,5,5,3,5,9,1,7
EE,0,2,73,4,1,3,3,5,5,9,0,1
EE,0,2,66,2,1,10,1,1,1,9,0,1
EE,7,2,31,5,8,7,4,3,1,5,1,7
EE,7,1,22,4,1,10,5,5,5,9,1,7
EE,4,2,57,4,1,2,2,2,0,5,0,4
EE,7,2,22,4,1,10,3,4,4,5,1,7
EE,0,2,67,2,6,6,4,3,1,7,0,1
EE,4,2,36,2,1,1,3,2,3,9,0,4
EE,7,1,64,7,6,10,1,1,2,5,1,7
EE,7,1,33,4,1,8,4,4,1,9,1,7
EE,7,1,31,4,1,9,4,4,3,9,1,7
EE,1,2,72,5,1,3,2,4,4,5,0,1
EE,1,2,60,4,6,6,1,4,2,9,0,1
EE,5,2,70,5,6,3,3,2,3,2,0,5
EE,7,1,72,6,6,5,1,1,1,5,1,7
EE,0,1,72,7,6,5,2,3,3,3,0,1
EE,0,2,70,4,6,3,4,1,1,9,0,1
EE,0,2,63,2,6,4,1,5,4,5,0,1
EE,7,2,60,7,6,2,4,4,2,6,1,7
EE,7,2,54,4,8,7,4,3,5,9,1,7
EE,7,2,35,3,3,6,4,4,3,5,1,7
EE,0,1,51,4,1,6,3,3,3,8,0,1
EE,7,1,23,4,1,5,5,5,4,7,1,7
EE,7,2,38,6,3,4,3,3,2,1,1,7
EE,7,2,52,4,3,8,2,1,1,1,1,7
EE,6,1,43,5,1,3,4,4,4,9,1,6
EE,7,1,17,2,9,2,5,5,5,9,1,7
EE,7,2,45,5,3,1,1,3,2,3,1,7
EE,6,1,40,4,1,6,3,3,3,7,1,6
EE,7,2,52,7,1,8,4,4,4,2,1,7
